move_number,fen
1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
2,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
3,rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2
4,rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3
5,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3
6,rnb1kbnr/ppp1pppp/3q4/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4
7,rnb1kbnr/ppp1pppp/3q4/8/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4
8,rnb1kb1r/ppp1pppp/3q1n2/8/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5
9,rnb1kb1r/ppp1pppp/3q1n2/8/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 2 5
10,rnb1kb1r/pp2pppp/2pq1n2/8/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6
11,rnb1kb1r/pp2pppp/2pq1n2/4N3/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 6
12,r1b1kb1r/pp1npppp/2pq1n2/4N3/3P4/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 7
13,r1b1kb1r/pp1npppp/2pq1n2/8/2NP4/2N5/PPP2PPP/R1BQKB1R b KQkq - 3 7
14,r1b1kb1r/ppqnpppp/2p2n2/8/2NP4/2N5/PPP2PPP/R1BQKB1R w KQkq - 4 8
15,r1b1kb1r/ppqnpppp/2p2n2/8/2NP4/2N2Q2/PPP2PPP/R1B1KB1R b KQkq - 5 8
16,r1b1kb1r/ppq1pppp/1np2n2/8/2NP4/2N2Q2/PPP2PPP/R1B1KB1R w KQkq - 6 9
17,r1b1kb1r/ppq1pppp/1np2n2/8/2NP1B2/2N2Q2/PPP2PPP/R3KB1R b KQkq - 7 9
18,r1bqkb1r/pp2pppp/1np2n2/8/2NP1B2/2N2Q2/PPP2PPP/R3KB1R w KQkq - 8 10
19,r1bqkb1r/pp2pppp/1np2n2/8/2NP1B2/2N2Q2/PPP2PPP/2KR1B1R b kq - 9 10
20,r2qkb1r/pp2pppp/1np2n2/8/2NP1Bb1/2N2Q2/PPP2PPP/2KR1B1R w kq - 10 11
21,r2qkb1r/pp2pppp/1np2n2/8/2NP1Bb1/2N3Q1/PPP2PPP/2KR1B1R b kq - 11 11
22,r2qkb1r/pp2pppp/1np2n2/8/2NP1B2/2N3Q1/PPP2PPP/2Kb1B1R w kq - 0 12
23,r2qkb1r/pp2pppp/1np2n2/8/2NP1B2/6Q1/PPP2PPP/2KN1B1R b kq - 0 12
24,r3kb1r/pp2pppp/1np2n2/8/2Nq1B2/6Q1/PPP2PPP/2KN1B1R w kq - 0 13
25,r3kb1r/pp2pppp/1np2n2/8/2Nq1B2/4N1Q1/PPP2PPP/2K2B1R b kq - 1 13
26,r3kb1r/pp2pppp/1np5/7n/2Nq1B2/4N1Q1/PPP2PPP/2K2B1R w kq - 2 14
